"OutdoorTemperature" "SolarRadiation" "WindSpeed" "Temperature_Indoor.T" "Conduction_wall1_outer.port_b.T" "Conduction_wall1_inner.port_b.T" "Conduction_wall1_outer.port_a.T" "Conduction_roof_outer.port_b.T" "Conduction_roof_inner.port_b.T" "Conduction_roof_outer.port_a.T" "two_single_ventilation1.Ventilation_rate.y"
292.8951635303683 0 1.188637146521532 298.5 296.15 297.5952186664297 293.7601131953803 303.15 303.1499528549248 303.1499254348726 0.1177610614211426
292.8955432567885 0 1.181389998662544 296.3138164502245 296.1476043112813 296.249260591642 293.7614431743555 300.7716164802705 300.7715808515173 300.771557029339 0.1062772627621328
292.8955432567885 0 1.181389998661807 296.3138164502245 296.1476043112813 296.249260591642 293.7614431743556 300.7716164802705 300.7715808515173 300.771557029339 0.1062772627621276
292.8959229832088 0 1.174149294777928 295.2635812999055 296.1438914205775 295.6069206744464 293.7624267454293 298.9244519358869 298.9244262692374 298.9244041433802 0.1001916328454166
292.8959229832088 0 1.174149294777928 295.263581299758 296.1438914205767 295.6069206743563 293.7624267454291 298.9244519355605 298.924426268911 298.9244041430538 0.1001916328445392
292.8959229832088 0 1.174149294776475 295.263581299758 296.1438914205767 295.6069206743563 293.7624267454295 298.9244519355605 298.924426268911 298.9244041430538 0.1001916328445281
292.8962584695897 0 1.166948444426829 294.7206576429726 296.1395331589773 295.2752436257884 293.7632010456971 297.500750869971 297.5007332581323 297.5007120069668 0.09684055812624007
292.8962584695898 0 1.166948444424668 294.7206576429726 296.1395331589773 295.2752436257884 293.7632010456977 297.500750869971 297.5007332581323 297.5007120069668 0.09684055812622289
292.8965497927772 0 1.159788815671783 294.4226802742862 296.1348368730778 295.0926919470545 293.7638470051414 296.4078111947992 296.4077999159014 296.4077791471607 0.09491540875034013
292.8965497927772 0 1.159788815671783 294.4226802741968 296.1348368730759 295.0926919469996 293.7638470051409 296.4078111944159 296.4077999155181 296.4077791467774 0.09491540874977293
292.8965497927773 0 1.159788815668922 294.4226802741968 296.1348368730759 295.0926919469996 293.7638470051416 296.4078111944159 296.4077999155181 296.4077791467774 0.09491540874975048
292.8967970296168 0 1.152671770361337 294.2482369816005 296.1299564489898 294.9851148017058 293.7644050679962 295.5694824130111 295.5694760502419 295.5694555645618 0.09374304970941358
292.8967970296169 0 1.152671770357786 294.2482369816005 296.1299564489898 294.9851148017058 293.7644050679971 295.5694824130111 295.5694760502419 295.5694555645618 0.09374304970938563
292.8970002569544 0 1.145598664104793 294.1401801908011 296.1249702814491 294.9177561365501 293.7648957270102 294.9267063738528 294.9267038035266 294.9266834910193 0.09298696711783969
292.8970002569544 0 1.145598664104793 294.1401801907493 296.1249702814461 294.9177561365176 293.7648957270094 294.9267063735149 294.9267038031887 294.9266834906814 0.09298696711750265
292.8970002569544 0 1.145598664100563 294.1401801907493 296.1249702814461 294.9177561365176 293.7648957270104 294.9267063735149 294.9267038031887 294.9266834906814 0.09298696711746937
292.8971595516356 0 1.138570846250544 294.0696587762609 296.1199214145215 294.873112554983 293.7653301249982 294.4338105221164 294.4338108683947 294.4337906648044 0.09247076231082899
292.8971595516357 0 1.138570846245643 294.0696587762609 296.1199214145215 294.873112554983 293.7653301249994 294.4338105221164 294.4338108683947 294.4337906648044 0.09247076231079054
292.8972749905063 0 1.131589659868128 294.0215712948902 296.1148346242667 294.8420360347009 293.7657145670166 294.0560052147836 294.0560077992619 294.0559876649916 0.09209995912731542
292.8972749905063 0 1.131589659868128 294.0215712948581 296.1148346242626 294.8420360346799 293.7657145670155 294.0560052145192 294.0560077989976 294.0559876647272 0.09209995912710432
292.8972749905063 0 1.131589659862566 294.0215712948581 296.1148346242626 294.8420360346799 293.7657145670168 294.0560052145192 294.0560077989976 294.0559876647272 0.0920999591270612
292.8973466504121 0 1.124656441734156 293.9874673207551 296.1097252493973 294.8194128274341 293.7660528574652 293.7661354324504 293.7661397343981 293.7661196442804 0.09182085931337935
292.8973466504121 0 1.124656441727946 293.9874673207551 296.1097252493973 294.8194128274341 293.7660528574667 293.7661354324504 293.7661397343981 293.7661196442804 0.09182085931333137
292.8973746081988 0 1.117772522322237 293.9625263050052 296.104602993052 294.8023278480405 293.7663473041354 293.5434201725282 293.5434257934795 293.5434057310162 0.0916025268429049
292.8973746081988 0 1.117772522322237 293.9625263049836 296.1046029930468 294.8023278480254 293.7663473041341 293.5434201723325 293.5434257932837 293.5434057308205 0.09160252684276177
292.8973746081988 0 1.117772522315388 293.9625263049836 296.1046029930468 294.8023278480254 293.7663473041357 293.5434201723325 293.5434257932837 293.5434057308205 0.09160252684270903
